date	time	date.time	425nm	455nm	485nm	515nm	555nm	615nm	660nm	695nm	tilt
18	0.323020833	18.32302083	0.243	0.576	0.882	1.157	1.294	0.133	0.055	0.055	1.6
43088	0.971363079	43088.97136	0.333	0.957	0.841	0.733	1.335	1.429	0.468	0.24	1.5
43088	0.97137456	43088.97137	0.348	0.987	0.873	0.759	1.383	1.464	0.49	0.251	1.5
43088	0.971386007	43088.97139	0.327	0.92	0.817	0.657	1.309	1.318	0.457	0.236	2
43088	0.9713975	43088.9714	0.36	1.031	0.896	0.764	1.419	1.459	0.512	0.261	1.6
43088	0.971408947	43088.97141	0.36	1.02	0.897	0.777	1.423	1.498	0.503	0.258	2
43088	0.97142044	43088.97142	0.362	1.032	0.898	0.789	1.429	1.506	0.512	0.262	1.6
43088	0.97143191	43088.97143	0.305	0.932	0.735	0.721	1.139	1.188	0.472	0.233	1
43088	0.971443368	43088.97144	0.286	0.892	0.684	0.698	1.039	1.109	0.455	0.222	0.8
43088	0.971454838	43088.97145	0.281	0.874	0.666	0.645	1.012	1.017	0.446	0.217	1.2
43088	0.979224537	43088.97922	-0.001	0.002	-0.002	0	-0.002	0.001	0	0	4.7
43088	0.979236111	43088.97924	0	0	0.004	0.002	0	0.001	-0.001	0.001	4.6
43088	0.979247685	43088.97925	0	0.001	-0.003	0	-0.002	0.002	-0.001	0.001	4.7
43088	0.979259259	43088.97926	-0.001	0.002	-0.003	0	-0.001	0.002	-0.001	0.001	4.1
43088	0.979270833	43088.97927	-0.012	0	-0.001	0	0.001	0.002	0	0.004	4.5
43088	0.979282407	43088.97928	0.002	0	0	-0.001	0	0.001	0	0.002	4.6
43088	0.979293981	43088.97929	-0.001	0.003	-0.002	-0.001	-0.001	0.001	0	0.001	4.7
43088	0.979305556	43088.97931	0.002	0.004	0.002	0.001	0	0.001	0	0.001	4.2
43088	0.97931713	43088.97932	-0.001	0.003	-0.002	0.002	-0.002	0.001	0.001	0.001	4.2
43088	0.989641204	43088.98964	-0.003	0.001	-0.004	0	0.001	0.001	0.001	0.001	4.4
43088	0.989652778	43088.98965	-0.001	0.004	0	-0.002	-0.001	0	-0.001	0	4.5
43088	0.989664352	43088.98966	-0.003	0.002	0	-0.001	0	-0.009	0.002	0.001	4.7
43088	0.989675926	43088.98968	-0.003	0.001	0.002	0	0.002	0.002	0	0.002	4.5
43088	0.9896875	43088.98969	-0.002	0.002	-0.001	0	-0.003	0.001	0	0.002	4.7
43088	0.989699074	43088.9897	0	0.001	-0.004	-0.002	0.001	0	0	0.002	5.2
43088	0.989710648	43088.98971	-0.002	0.009	-0.003	0.001	0.003	0.001	0	0.001	4.9
