date.time	dep1	dep2	dep3	de.hr1	de.hr2	de.hr3	cal1	cal2	cal3
43418.40972	2.801	3.148	3.906	2.829	3.684	4.057	0.001332525	0.002339959	0.003862637
43418.41667	2.513	3.31	3.661	4.136	4.15	4.045	0.001332525	0.002339959	0.003862637
43418.42361	2.653	3.972	3.659	0.196	0.189	0.145	0.001332525	0.002339959	0.003862637
43418.43056	2.949	4.183	3.671	0.18	0.174	0.133	0.001332525	0.002339959	0.003862637
43418.4375	3.172	4.375	3.643	0.184	0.18	0.138	0.001332525	0.002339959	0.003862637
43418.44444	3.614	4.504	3.66	0.186	0.178	0.146	0.001332525	0.002339959	0.003862637
43418.45139	3.718	4.529	3.659	0.178	0.171	0.141	0.001332525	0.002339959	0.003862637
43418.45833	4.225	4.302	3.389	4.039	3.973	3.979	0.001332525	0.002339959	0.003862637
43418.46528	4.309	4.428	3.505	0.19	0.177	0.141	0.001332525	0.002339959	0.003862637
43418.47222	4.321	4.41	3.453	0.19	0.176	0.144	0.001332525	0.002339959	0.003862637
43418.47917	4.376	4.478	3.57	0.191	0.176	0.141	0.001332525	0.002339959	0.003862637
43418.48611	4.388	4.465	3.507	0.189	0.179	0.146	0.001332525	0.002339959	0.003862637
43418.49306	4.389	4.43	3.499	0.192	0.168	0.144	0.001332525	0.002339959	0.003862637
43418.5	4.077	4.473	3.372	4.304	4.318	4.293	0.001332525	0.002339959	0.003862637
43418.50694	4.069	4.517	3.42	0.187	0.185	0.139	0.001332525	0.002339959	0.003862637
43418.51389	4.087	4.524	3.421	0.182	0.172	0.135	0.001332525	0.002339959	0.003862637
43418.52083	4.087	4.484	3.357	0.188	0.171	0.139	0.001332525	0.002339959	0.003862637
43418.52778	4.147	4.604	3.492	0.187	0.171	0.138	0.001332525	0.002339959	0.003862637
43418.53472	4.1	4.457	3.356	0.187	0.175	0.136	0.001332525	0.002339959	0.003862637
43418.54167	4.21	4.536	3.419	4.202	4.147	4.162	0.001332525	0.002339959	0.003862637
43418.54861	4.188	4.564	3.447	0.183	0.168	0.128	0.001332525	0.002339959	0.003862637
43418.55556	4.336	4.613	3.818	0.123	0.127	0.125	0.001332525	0.002339959	0.003862637
43418.5625	4.142	4.774	3.238	0.889	0.84	0.777	0.001332525	0.002339959	0.003862637
43418.56944	4.237	4.84	3.695	0.516	0.452	0.455	0.001332525	0.002339959	0.003862637
43418.57639	4.254	4.852	3.69	0.522	0.452	0.456	0.001332525	0.002339959	0.003862637
43418.58333	4.468	4.635	3.416	4.344	4.296	4.156	0.001332525	0.002339959	0.003862637
43418.59028	4.473	4.62	3.373	0.517	0.457	0.458	0.001332525	0.002339959	0.003862637
43418.59722	4.479	4.616	3.374	0.518	0.46	0.46	0.001332525	0.002339959	0.003862637
43418.60417	4.499	4.645	3.399	0.523	0.466	0.475	0.001332525	0.002339959	0.003862637
43418.61111	4.482	4.637	3.386	0.524	0.463	0.465	0.001332525	0.002339959	0.003862637
43418.61806	4.518	4.672	3.38	0.518	0.467	0.464	0.001332525	0.002339959	0.003862637
43418.625	4.629	4.686	3.34	4.349	4.374	4.319	0.001332525	0.002339959	0.003862637
43418.63194	4.623	4.632	3.334	0.519	0.468	0.468	0.001332525	0.002339959	0.003862637
43418.63889	4.636	4.647	3.351	0.521	0.467	0.462	0.001332525	0.002339959	0.003862637
43418.64583	4.701	4.796	3.509	0.514	0.461	0.457	0.001332525	0.002339959	0.003862637
43418.65278	18.97	22.14	6.318	0.059	0.048	0.048	0.001332525	0.002339959	0.003862637
43418.65972	16.03	23	6.293	0.067	0.078	0.053	0.001332525	0.002339959	0.003862637
43418.66667	22.55	28.82	13.16	3.967	3.941	4.044	0.001332525	0.002339959	0.003862637
43418.67361	17.9	23.23	8.81	0.057	0.051	0.043	0.001332525	0.002339959	0.003862637
43418.68056	17.88	23.13	8.81	0.058	0.049	0.043	0.001332525	0.002339959	0.003862637
43418.6875	17.86	23.03	8.82	0.054	0.055	0.042	0.001332525	0.002339959	0.003862637
43418.69444	17.85	22.97	8.82	0.053	0.049	0.038	0.001332525	0.002339959	0.003862637
43418.70139	17.85	22.9	8.81	0.059	0.047	0.042	0.001332525	0.002339959	0.003862637
43418.70833	37.87	34.73	19.83	3.887	4.02	4.043	0.001332525	0.002339959	0.003862637
43418.71528	38.45	34.88	19.8	0.086	0.058	0.04	0.001332525	0.002339959	0.003862637
43418.72222	38.44	34.87	19.79	0.086	0.055	0.036	0.001332525	0.002339959	0.003862637
43418.72917	38.42	34.88	19.77	0.086	0.059	0.041	0.001332525	0.002339959	0.003862637
43418.73611	38.39	34.88	19.74	0.084	0.055	0.047	0.001332525	0.002339959	0.003862637
43418.74306	38.37	34.88	19.71	0.082	0.054	0.048	0.001332525	0.002339959	0.003862637
43418.75	41.28	36.61	21.96	3.931	3.971	4.042	0.001332525	0.002339959	0.003862637
43418.75694	42.15	36.77	21.92	0.086	0.059	0.047	0.001332525	0.002339959	0.003862637
43418.76389	42.14	36.78	21.9	0.084	0.057	0.052	0.001332525	0.002339959	0.003862637
43418.77083	42.13	36.8	21.88	0.092	0.06	0.046	0.001332525	0.002339959	0.003862637
43418.77778	42.12	36.8	21.86	0.09	0.056	0.046	0.001332525	0.002339959	0.003862637
43418.78472	42.11	36.81	21.86	0.091	0.058	0.045	0.001332525	0.002339959	0.003862637
43418.79167	41.45	36.93	22.57	4.024	4.037	4.118	0.001332525	0.002339959	0.003862637
43418.79861	42.45	37.03	22.39	0.097	0.057	0.045	0.001332525	0.002339959	0.003862637
43418.80556	42.44	37.05	22.37	0.092	0.058	0.043	0.001332525	0.002339959	0.003862637
43418.8125	42.45	37.06	22.37	0.094	0.06	0.042	0.001332525	0.002339959	0.003862637
43418.81944	42.44	37.08	22.36	0.09	0.061	0.042	0.001332525	0.002339959	0.003862637
43418.82639	42.43	37.09	22.36	0.095	0.063	0.044	0.001332525	0.002339959	0.003862637
43418.83333	41.25	37.1	22.63	3.81	3.969	3.997	0.001332525	0.002339959	0.003862637
43418.84028	42.42	37.2	22.77	0.093	0.053	0.048	0.001332525	0.002339959	0.003862637
43418.84722	42.44	37.23	22.77	0.092	0.049	0.047	0.001332525	0.002339959	0.003862637
43418.85417	42.43	37.24	22.76	0.092	0.047	0.046	0.001332525	0.002339959	0.003862637
43418.86111	42.44	37.25	22.76	0.085	0.05	0.048	0.001332525	0.002339959	0.003862637
43418.86806	42.44	37.26	22.76	0.088	0.048	0.046	0.001332525	0.002339959	0.003862637
43418.875	41.98	37.37	23	3.964	4.067	4.213	0.001332525	0.002339959	0.003862637
43418.88194	42.9	37.55	23.16	0.086	0.059	0.057	0.001332525	0.002339959	0.003862637
43418.88889	42.91	37.56	23.16	0.092	0.059	0.05	0.001332525	0.002339959	0.003862637
43418.89583	42.93	37.58	23.16	0.092	0.057	0.05	0.001332525	0.002339959	0.003862637
