date.time	NTU
43088.97135	0
43088.97136	0.023
43088.97137	0.03
43088.97138	0.053
43088.97139	0.015
43088.97141	0.015
43088.97142	0.015
43088.97143	0
43088.97144	0.023
43088.97145	0.03
43088.97921	-0.03
43088.97922	0.008
43088.97923	-0.023
43088.97925	0.008
43088.97926	0.008
43088.97927	0.015
43088.97928	0.008
43088.97929	0
43088.9793	0.008
43088.97931	0.008
43088.98962	0.015
43088.98964	-0.007
43088.98965	-0.007
43088.98966	0.015
43088.98967	0.007
43088.98969	0.007
43088.9897	-0.015
43088.98971	-0.007
43088.98972	0.015
43088.98973	-0.03
43089.00006	0.015
43089.00008	0
43089.00009	0.015
43089.0001	0.015
43089.00011	-0.007
43089.00012	0.007
43089.00014	0.015
43089.00015	0.007
43089.00016	0
43089.00017	0.015
43089.01046	0
43089.01047	-0.007
43089.01048	0.015
43089.0105	-0.015
43089.01051	0.007
43089.01052	0.007
43089.01053	0.015
43089.01054	0.022
43089.01055	0.022
43089.01056	0.015
43089.02087	0
43089.02089	0.015
43089.0209	-0.007
43089.02091	-0.007
43089.02092	-0.007
43089.02093	-0.007
43089.02095	0.007
43089.02096	0.007
43089.02097	0
43089.02098	0.007
43089.03129	0.007
43089.03131	0
43089.03132	0.007
43089.03133	0.015
43089.03134	0.03
43089.03135	-0.007
43089.03136	0.022
43089.03137	0.007
43089.03139	0.022
43089.0314	0.03
43089.04171	0.022
43089.04172	-0.015
43089.04173	0.007
43089.04175	0.007
43089.04176	0
43089.04177	0.007
43089.04178	0
43089.04179	0
43089.0418	0
43089.04181	0.015
43089.05212	-0.007
43089.05214	-0.007
43089.05215	0.015
43089.05216	0.007
43089.05217	-0.007
43089.05218	0.037
43089.0522	0.022
43089.05221	0.037
43089.05222	0.015
43089.05223	0.015
43089.06254	0.015
43089.06256	0.015
43089.06257	0.022
43089.06258	0.015
43089.06259	0.015
43089.0626	0.015
43089.06261	0.022
43089.06262	-0.007
43089.06264	0.007
43089.06265	0.022
43089.07296	0.015
43089.07297	-0.015
43089.07298	0.007
43089.073	0.007
43089.07301	0.007
43089.07302	-0.015
43089.07303	0.022
43089.07304	0
43089.07305	0.007
43089.07306	0.007
43089.08337	0.022
43089.08339	0.022
43089.0834	0.007
43089.08341	0
43089.08342	0.015
43089.08343	0.007
43089.08345	0.022
43089.08346	0.015
43089.08347	-0.007
43089.08348	-0.007
43089.09379	0.007
43089.09381	0.007
43089.09382	0
43089.09383	0.03
43089.09384	0.037
43089.09385	0.015
43089.09386	0.015
43089.09387	0
43089.09389	0
43089.0939	0
43089.10421	-0.015
43089.10422	0
43089.10423	0
43089.10425	0.015
43089.10426	0.015
43089.10427	-0.007
43089.10428	-0.007
43089.10429	0
43089.1043	0.007
43089.10431	0
43089.11462	0.022
43089.11464	0
43089.11465	0.022
43089.11466	0.015
43089.11467	0.015
43089.11468	0.015
43089.1147	0.015
43089.11471	-0.015
43089.11472	0
43089.11473	0.015
43089.12504	0
43089.12506	0.007
43089.12507	0.007
43089.12508	0.007
43089.12509	0
43089.1251	0.03
43089.12511	0.03
43089.12512	0.015
43089.12514	0
43089.12515	0.007
43089.13546	-0.022
43089.13547	0.015
43089.13548	0.007
43089.1355	0.015
43089.13551	0.015
43089.13552	-0.007
43089.13553	0.015
43089.13554	-0.007
43089.13555	-0.007
43089.13556	0.007
43089.14587	0.03
43089.14589	-0.022
43089.1459	0.007
43089.14591	0
43089.14592	0.007
43089.14593	0.03
43089.14595	0.007
43089.14596	0.015
43089.14597	0
43089.14598	0.015
43089.15629	0
43089.15631	0
43089.15632	0
43089.15633	0.007
43089.15634	-0.022
43089.15635	0.007
43089.15636	0.022
43089.15637	0.015
43089.15639	0.03
43089.1564	0
43089.16671	-0.007
43089.16672	0.007
43089.16673	-0.007
43089.16675	0.015
43089.16676	0.022
43089.16677	0.037
43089.16678	0.022
43089.16679	0.007
43089.1668	0.007
43089.16681	0.007
43089.17712	-0.015
43089.17714	-0.007
43089.17715	-0.007
43089.17716	0.022
43089.17717	0
43089.17718	0.022
43089.1772	0
43089.17721	0.015
43089.17722	0.015
43089.17723	0.022
43089.18754	0.015
43089.18756	0.007
43089.18757	0
43089.18758	0.007
43089.18759	-0.007
43089.1876	0.007
43089.18761	0.015
43089.18762	0.015
43089.18764	0.03
43089.18765	0.022
43089.19796	0.022
43089.19797	-0.03
43089.19798	0
43089.198	-0.007
43089.19801	-0.03
43089.19802	-0.007
43089.19803	0.007
43089.19804	0.022
43089.19805	0.015
43089.19806	0
43089.20837	0.007
43089.20839	0.015
43089.2084	0
43089.20841	0.022
43089.20842	-0.007
43089.20843	0.007
43089.20845	0.007
43089.20846	0.007
43089.20847	0
43089.20848	0.007
43089.21879	0
43089.21881	0
43089.21882	-0.007
43089.21883	0.007
43089.21884	0
43089.21885	0.007
43089.21886	0.015
43089.21887	0
43089.21889	0.007
43089.2189	-0.007
43089.22921	0.015
43089.22922	0.015
43089.22923	0.015
43089.22925	0.022
43089.22926	0.03
43089.22927	0.015
43089.22928	0.015
43089.22929	0
43089.2293	0.015
43089.22931	0.007
43089.23962	0.03
43089.23964	0.015
43089.23965	0.015
43089.23966	0
43089.23967	-0.007
43089.23968	0.03
43089.2397	0.007
43089.23971	0.015
43089.23972	0
43089.23973	0.015
43089.25004	0
43089.25006	0.03
43089.25007	0.022
43089.25008	0.015
43089.25009	0
43089.2501	0.007
43089.25011	0.007
43089.25012	0.007
43089.25014	0
43089.25015	0.022
43089.26046	0.022
43089.26047	-0.007
43089.26048	0.015
43089.2605	0.022
43089.26051	0.015
43089.26052	0
43089.26053	0.007
43089.26054	0.015
43089.26055	-0.007
43089.26056	-0.007
43089.27087	0.015
43089.27089	0.015
43089.2709	0
43089.27091	0.015
43089.27092	0
43089.27093	0
43089.27095	0.015
43089.27096	-0.007
43089.27097	-0.022
43089.27098	0.007
43089.28129	0.007
43089.28131	0.007
43089.28132	0.022
43089.28133	0
43089.28134	0.022
43089.28135	0.022
43089.28136	0
43089.28137	-0.007
43089.28139	0.015
43089.2814	0.007
43089.29171	0.015
43089.29172	0.022
43089.29173	0
43089.29175	0.029
43089.29176	0.022
43089.29177	0.059
43089.29178	0.015
43089.29179	0.007
43089.2918	0.015
43089.29181	0.007
43089.30212	0.073
43089.30214	0.044
43089.30215	0
43089.30216	0.308
43089.30217	0.066
43089.30218	0.081
43089.3022	0.132
43089.30221	0.234
43089.30222	0.059
43089.30223	0.029
43089.31254	0.154
43089.31256	0.169
43089.31257	0.147
43089.31258	0.139
43089.31259	0.139
43089.3126	0.147
43089.31261	0.176
43089.31262	0.176
43089.31264	0.147
43089.31265	0.147
43089.32296	0.173
43089.32297	0.18
43089.32298	0.18
43089.323	0.151
43089.32301	0.144
43089.32302	0.165
43089.32303	0.173
43089.32304	0.144
43089.32305	0.151
43089.32306	0.209
43089.33338	0.114
43089.33339	0.113
43089.3334	0.106
43089.33341	0.149
43089.33342	0.092
43089.33343	0.043
43089.33345	0.156
43089.33346	0.113
43089.33347	0.121
43089.33348	0.121
43089.34379	0.078
43089.34381	0.057
43089.34382	0.078
43089.34383	0.056
43089.34384	0.071
43089.34385	0.064
43089.34386	0.042
43089.34387	0.042
43089.34389	0.071
43089.3439	0.064
43089.35421	0.055
43089.35422	0.042
43089.35423	0.055
43089.35425	0.062
43089.35426	0.062
43089.35427	0.048
43089.35428	0.062
43089.35429	0.035
43089.3543	0.062
43089.35431	0.048
43089.36463	0.035
43089.36464	0.014
43089.36465	0.028
43089.36466	0.021
43089.36467	0.035
43089.36468	0.007
43089.3647	0.021
43089.36471	0.042
43089.36472	0.007
43089.36473	0.049
43089.37504	0
43089.37506	0.028
43089.37507	0
43089.37508	0.007
43089.37509	-0.007
43089.3751	0.007
43089.37511	-0.007
43089.37512	0.014
43089.37514	0.014
43089.37515	0.028
43089.38546	0.042
43089.38547	0.063
43089.38548	0.042
43089.3855	0.028
43089.38551	0.042
43089.38552	0.035
43089.38553	0.063
43089.38554	0.056
43089.38555	0.049
43089.38556	0.042
43089.39588	0.123
43089.39589	0.143
43089.3959	0.13
43089.39591	0.143
43089.39592	0.143
43089.39593	0.143
43089.39595	0.143
43089.39596	0.116
43089.39597	0.15
43089.39598	0.15
43089.40629	15.671
43089.40631	16.664
43089.40632	20.799
43089.40633	19.907
43089.40634	21.064
43089.40635	13.821
43089.40636	14.542
43089.40637	15.178
43089.40639	14.321
43089.4064	12.508
43089.41671	1.976
43089.41672	0.738
43089.41673	0.911
43089.41675	1.83
43089.41676	1.685
43089.41677	1.975
43089.41678	0.926
43089.41679	1.208
43089.4168	1.599
43089.41681	1.381
43089.42712	0.849
43089.42714	0.841
43089.42715	0.986
43089.42716	0.812
43089.42717	0.965
43089.42718	0.986
43089.4272	0.928
43089.42721	0.805
43089.42722	1.001
43089.42723	0.921
43089.43754	1.191
43089.43756	2.308
43089.43757	1.074
43089.43758	2.3
43089.43759	1.248
43089.4376	1.43
43089.43761	1.197
43089.43762	1.11
43089.43764	1.176
43089.43765	1.401
43089.44796	2.287
43089.44797	1.503
43089.44798	1.314
43089.448	1.133
43089.44801	1.474
43089.44802	1.256
43089.44803	1.909
43089.44804	1.299
43089.44805	0.922
43089.44806	1.43
43089.45837	0.763
43089.45839	0.944
43089.4584	0.901
43089.45841	1.053
43089.45842	1.234
43089.45843	1.045
43089.45845	0.995
43089.45846	0.929
43089.45847	0.878
43089.45848	0.995
43089.46879	0.944
43089.46881	1.518
43089.46882	1.009
43089.46883	1.154
43089.46884	1.016
43089.46885	0.966
43089.46886	0.944
43089.46887	1.365
43089.46889	3.361
43089.4689	1.481
43089.47921	0.952
43089.47922	1.147
43089.47923	0.995
43089.47925	1.024
43089.47926	1.176
43089.47927	1.002
43089.47928	0.958
43089.47929	0.98
43089.4793	1.147
43089.47931	0.878
43089.48962	1.504
43089.48964	1.583
43089.48965	1.517
43089.48966	2.802
43089.48967	1.474
43089.48968	2.592
43089.4897	1.684
43089.48971	1.459
43089.48972	1.538
43089.48973	1.284
43089.50004	1.286
43089.50006	2.752
43089.50007	1.256
43089.50008	1.292
43089.50009	2.374
43089.5001	1.191
43089.50011	1.663
43089.50012	1.14
43089.50014	1.597
43089.50015	1.176
43089.51046	1.322
43089.51047	1.212
43089.51048	1.517
43089.5105	1.488
43089.51051	1.488
43089.51052	1.597
43089.51053	1.321
43089.51054	1.967
43089.51055	1.771
43089.51056	1.626
43089.52087	1.423
43089.52089	1.016
43089.5209	1.27
43089.52091	1.313
43089.52092	1.212
43089.52093	1.647
43089.52095	1.096
43089.52096	1.255
43089.52097	1.393
43089.52098	1.356
43089.53129	1.307
43089.53131	1.597
43089.53132	1.277
43089.53133	1.219
43089.53134	6.038
43089.53135	1.372
43089.53136	1.472
43089.53137	1.487
43089.53139	2.205
43089.5314	1.494
43089.54171	0.98
43089.54172	1.045
43089.54173	0.82
43089.54175	0.943
43089.54176	0.82
43089.54177	0.972
43089.54178	1.581
43089.54179	1.4
43089.5418	1.393
43089.54181	1.117
43089.55212	1.415
43089.55214	1.64
43089.55215	1.778
43089.55216	1.183
43089.55217	1.372
43089.55218	1.118
43089.5522	1.683
43089.55221	1.661
43089.55222	1.117
43089.55223	1.088
43089.56254	1.386
43089.56256	1.11
43089.56257	1.205
43089.56258	1.604
43089.56259	1.407
43089.5626	0.965
43089.56261	1.327
43089.56262	0.965
43089.56264	1.501
43089.56265	1.015
43089.57296	1.147
43089.57297	1.459
43089.57298	1.226
43089.573	1.132
43089.57301	1.095
43089.57302	1.48
43089.57303	1.364
43089.57304	1.168
43089.57305	1.182
43089.57306	1.197
43089.58337	1.749
43089.58339	1.205
43089.5834	1.306
43089.58341	1.4
43089.58342	1.342
43089.58343	1.03
43089.58345	1.015
43089.58346	1.168
43089.58347	2.067
43089.58348	1.117
43089.59379	0.958
43089.59381	1.835
43089.59382	1.066
43089.59383	1.03
43089.59384	1.052
43089.59385	0.986
43089.59386	0.957
43089.59387	1.168
43089.59389	1.081
43089.5939	0.921
43089.60421	1.626
43089.60422	3.757
43089.60423	1.081
43089.60425	2.59
43089.60426	1.211
43089.60427	1.298
43089.60428	1.124
43089.60429	1.393
43089.6043	1.465
43089.60431	1.393
43089.61462	1.705
43089.61464	1.182
43089.61465	1.023
43089.61466	1.175
43089.61467	1.327
43089.61468	1.161
43089.6147	1.277
43089.61471	1.487
43089.61472	1.639
43089.61473	2.204
43089.62504	1.009
43089.62506	3.416
43089.62507	1.958
43089.62508	0.892
43089.62509	1.037
43089.6251	1.356
43089.62511	1.045
43089.62512	0.986
43089.62514	1.066
43089.62515	1.24
43089.63546	1.343
43089.63547	1.226
43089.63548	1.668
43089.6355	1.342
43089.63551	1.371
43089.63552	1.015
43089.63553	0.928
43089.63554	1.102
43089.63555	1.131
43089.63556	1.697
43089.64587	1.792
43089.64589	1.001
43089.6459	1.088
43089.64591	1.414
43089.64592	0.82
43089.64593	1.066
43089.64595	1.088
43089.64596	1.254
43089.64597	1.037
43089.64598	1.102
43089.65629	1.11
43089.65631	1.248
43089.65632	1.298
43089.65633	1.523
43089.65634	1.545
43089.65635	1.008
43089.65636	1.393
43089.65637	1.146
43089.65639	0.892
43089.6564	1.189
43089.66671	1.269
43089.66672	1.277
43089.66673	1.211
43089.66675	1.443
43089.66676	1.277
43089.66677	1.429
43089.66678	1.37
43089.66679	1.494
43089.6668	1.175
43089.66681	1.994
43089.67712	1.524
43089.67714	1.821
43089.67715	2.822
43089.67716	1.574
43089.67717	1.929
43089.67718	1.538
43089.6772	1.958
43089.67721	2.075
43089.67722	1.719
