date.time	dep1	dep2	dep3	de.hr1	de.hr2	de.hr3	cal1	cal2	cal3
43432.15972	32.27	3.681	104.3	31.05	4.079	103.3	0.001795271	0.002580396	0.00172618
43432.16667	16.86	2.724	69.3	16.43	2.508	68.24	0.001795271	0.002580396	0.00172618
43432.17361	16.57	2.798	68.87	16.93	2.986	67.99	0.001795271	0.002580396	0.00172618
43432.18056	16.36	2.552	67.62	16.32	2.018	66.39	0.001795271	0.002580396	0.00172618
43432.1875	17.02	2.673	69.03	17.34	2.578	67.99	0.001795271	0.002580396	0.00172618
43432.19444	16.86	2.721	69.03	17.04	2.839	68.24	0.001795271	0.002580396	0.00172618
43432.20139	16.82	3.709	69.58	16.97	4.08	68.08	0.001795271	0.002580396	0.00172618
43432.20833	35.84	3.573	108.4	34.69	3.345	107.3	0.001795271	0.002580396	0.00172618
43432.21528	36.63	3.758	107.6	35.36	4.08	106.9	0.001795271	0.002580396	0.00172618
43432.22222	36.6	3.668	108.2	35.36	4.08	107.4	0.001795271	0.002580396	0.00172618
43432.22917	36.33	3.854	109.6	35.36	4.08	109	0.001795271	0.002580396	0.00172618
43432.23611	36.8	3.791	106.9	35.36	4.08	106	0.001795271	0.002580396	0.00172618
43432.24306	37.26	3.724	107.5	35.36	4.079	106.8	0.001795271	0.002580396	0.00172618
43432.25	32.51	3.56	105.3	31.44	3.465	104.6	0.001795271	0.002580396	0.00172618
43432.25694	32.75	3.592	106	31.58	4.08	105	0.001795271	0.002580396	0.00172618
43432.26389	32.89	3.397	106.7	31.79	4.079	105.7	0.001795271	0.002580396	0.00172618
43432.27083	33.14	3.579	105.8	32.01	4.08	104.7	0.001795271	0.002580396	0.00172618
43432.27778	33.11	3.354	105.4	31.83	4.08	104.4	0.001795271	0.002580396	0.00172618
43432.28472	32.93	3.506	106.3	31.76	4.08	104.8	0.001795271	0.002580396	0.00172618
43432.29167	15.89	2.889	67.14	15.92	2.676	66.03	0.001795271	0.002580396	0.00172618
43432.29861	16.16	2.864	68.47	16.01	2.997	67.99	0.001795271	0.002580396	0.00172618
43432.30556	16.46	2.59	71.4	16.51	2.197	70.68	0.001795271	0.002580396	0.00172618
43432.3125	12.19	2.633	71.58	12.43	2.41	70.66	0.001795271	0.002580396	0.00172618
43432.31944	-3.338	2.577	71.86	-2.72	2.225	71.01	0.001795271	0.002580396	0.00172618
43432.32639	-3.341	3.054	71.49	-2.72	3.677	70.84	0.001795271	0.002580396	0.00172618
43432.33333	-3.328	2.563	71.16	-3.285	2.692	70.23	0.001795271	0.002580396	0.00172618
43432.34028	-3.327	2.701	72.81	-2.719	2.649	71.78	0.001795271	0.002580396	0.00172618
43432.34722	-3.327	2.772	72.74	-2.72	3.068	71.6	0.001795271	0.002580396	0.00172618
43432.35417	-3.328	2.841	73.73	-2.719	3.22	72.65	0.001795271	0.002580396	0.00172618
43432.36111	-3.33	2.7	72.06	-2.719	2.622	70.71	0.001795271	0.002580396	0.00172618
43432.36806	-3.328	2.886	70.61	-2.719	3.524	69.22	0.001795271	0.002580396	0.00172618
43432.375	-3.336	3.311	106.9	-3.606	3.557	106	0.001795271	0.002580396	0.00172618
43432.38194	-3.329	3.883	106.9	-2.719	4.079	105.9	0.001795271	0.002580396	0.00172618
43432.38889	-3.33	3.638	108	-2.719	4.079	107.4	0.001795271	0.002580396	0.00172618
43432.39583	-3.334	3.432	108	-2.719	4.068	107.4	0.001795271	0.002580396	0.00172618
43432.40278	-3.332	3.414	107.9	-2.719	3.894	107.4	0.001795271	0.002580396	0.00172618
43432.40972	-3.331	3.512	108.4	-2.72	3.759	107.4	0.001795271	0.002580396	0.00172618
43432.41667	-3.31	25.62	8.63	-3.203	24.76	8.78	0.001795271	0.002580396	0.00172618
43432.42361	-3.334	17.34	7.471	-2.719	17.65	7.538	0.001795271	0.002580396	0.00172618
