date.time	dep1	dep2	dep3	de.hr1	de.hr2	de.hr3	cal1	cal2	cal3
43418.40972	37.91	23.31	10.23	36.76	22.38	10.44	0.000926193	0.001725166	0.001965718
43418.41667	11.72	3.414	7.045	11.82	3.465	6.882	0.000926193	0.001725166	0.001965718
43418.42361	11.63	3.452	6.782	12.17	3.66	6.887	0.000926193	0.001725166	0.001965718
43418.43056	11.67	3.461	6.791	12.18	3.671	6.914	0.000926193	0.001725166	0.001965718
43418.4375	11.67	3.435	6.762	12.18	3.649	6.92	0.000926193	0.001725166	0.001965718
43418.44444	11.56	3.268	6.762	11.99	3.406	6.871	0.000926193	0.001725166	0.001965718
43418.45139	11.92	3.488	6.928	12.18	3.633	7.028	0.000926193	0.001725166	0.001965718
43418.45833	12	3.168	6.955	12.19	3.325	7.288	0.000926193	0.001725166	0.001965718
43418.46528	11.91	3.239	6.904	12.18	3.303	6.909	0.000926193	0.001725166	0.001965718
43418.47222	11.71	3.215	6.845	11.97	3.292	6.887	0.000926193	0.001725166	0.001965718
43418.47917	11.76	3.232	6.871	12.01	3.33	6.844	0.000926193	0.001725166	0.001965718
43418.48611	11.73	3.211	6.836	11.99	3.297	6.86	0.000926193	0.001725166	0.001965718
43418.49306	11.76	3.223	6.852	12.03	3.297	6.876	0.000926193	0.001725166	0.001965718
43418.5	11.83	3.255	6.979	11.83	3.222	7.061	0.000926193	0.001725166	0.001965718
43418.50694	11.56	3.154	6.828	11.9	3.222	6.866	0.000926193	0.001725166	0.001965718
43418.51389	11.36	2.918	6.546	11.83	2.913	6.557	0.000926193	0.001725166	0.001965718
43418.52083	11.27	2.899	6.521	11.66	2.913	6.525	0.000926193	0.001725166	0.001965718
43418.52778	11.3	2.946	6.546	11.74	2.918	6.53	0.000926193	0.001725166	0.001965718
43418.53472	11.51	3.057	6.722	11.96	3.113	6.795	0.000926193	0.001725166	0.001965718
43418.54167	11.46	2.716	6.747	11.32	3.113	6.757	0.000926193	0.001725166	0.001965718
43418.54861	11.67	3.208	6.974	12.18	3.335	7.012	0.000926193	0.001725166	0.001965718
43418.55556	11.68	3.256	6.887	12.18	3.649	6.833	0.000926193	0.001725166	0.001965718
43418.5625	86.4	40.05	41.03	85.5	38.89	40.61	0.000926193	0.001725166	0.001965718
43418.56944	130.5	89	114.1	129.9	88	113.3	0.000926193	0.001725166	0.001965718
43418.57639	89.4	40.65	43.25	88.5	39.43	42.06	0.000926193	0.001725166	0.001965718
43418.58333	11.83	3.241	6.988	11.96	3.222	7.25	0.000926193	0.001725166	0.001965718
43418.59028	11.82	3.215	6.882	11.93	3.222	6.974	0.000926193	0.001725166	0.001965718
43418.59722	11.85	3.25	6.893	12	3.243	7.034	0.000926193	0.001725166	0.001965718
43418.60417	11.82	3.24	6.884	12.04	3.2	6.99	0.000926193	0.001725166	0.001965718
43418.61111	11.85	3.239	6.866	12.03	3.2	6.996	0.000926193	0.001725166	0.001965718
43418.61806	11.84	3.217	6.874	11.98	3.243	6.952	0.000926193	0.001725166	0.001965718
43418.625	11.96	3.24	7.145	12.04	3.232	7.245	0.000926193	0.001725166	0.001965718
43418.63194	11.81	3.19	7.024	11.97	3.222	7.153	0.000926193	0.001725166	0.001965718
43418.63889	11.83	3.185	7.022	11.96	3.211	7.131	0.000926193	0.001725166	0.001965718
43418.64583	11.85	3.237	7.07	12.04	3.205	7.18	0.000926193	0.001725166	0.001965718
43418.65278	44.28	32.58	33.7	43.32	32.1	32.49	0.000926193	0.001725166	0.001965718
