date.time	dep1	dep2	dep3	de.hr1	de.hr2	de.hr3	cal1	cal2	cal3
43418.45139	2.374	12.33	6.548	2.38	12.34	6.528	0.000740451	0.000715834	0.001125643
43418.45833	2.358	9.82	6.576	2.532	9.15	5.98	0.000740451	0.000715834	0.001125643
43418.46528	2.414	12.75	6.848	2.662	12.76	6.772	0.000740451	0.000715834	0.001125643
43418.47222	2.358	12.63	6.726	2.635	12.73	6.734	0.000740451	0.000715834	0.001125643
43418.47917	2.365	12.45	6.807	2.695	12.53	6.821	0.000740451	0.000715834	0.001125643
43418.48611	2.35	12.71	6.609	2.57	12.38	6.626	0.000740451	0.000715834	0.001125643
43418.49306	2.399	12.62	6.661	2.608	12.73	6.739	0.000740451	0.000715834	0.001125643
43418.5	2.435	9.84	6.81	2.537	9.07	6.203	0.000740451	0.000715834	0.001125643
43418.50694	2.392	12.25	6.557	2.608	12.4	6.626	0.000740451	0.000715834	0.001125643
43418.51389	2.374	12.63	6.716	2.63	12.67	6.929	0.000740451	0.000715834	0.001125643
43418.52083	2.293	12.52	6.806	2.668	12.92	6.842	0.000740451	0.000715834	0.001125643
43418.52778	2.294	12.37	6.459	2.662	12.67	6.669	0.000740451	0.000715834	0.001125643
43418.53472	2.292	12.37	6.458	2.689	12.59	6.523	0.000740451	0.000715834	0.001125643
43418.54167	2.382	9.97	6.484	2.51	9.28	6.306	0.000740451	0.000715834	0.001125643
43418.54861	2.407	432.7	197.8	2.646	433	196.7	0.000740451	0.000715834	0.001125643
43418.55556	2.367	32.08	10.29	2.592	30.9	10.34	0.000740451	0.000715834	0.001125643
43418.5625	2.391	145.6	149.2	2.673	145.1	149.1	0.000740451	0.000715834	0.001125643
43418.56944	2.378	33.03	11.89	2.695	31.92	12.04	0.000740451	0.000715834	0.001125643
43418.57639	2.368	33.01	11.91	2.684	31.91	12.09	0.000740451	0.000715834	0.001125643
43418.58333	2.37	35.49	8.12	2.494	34.54	7.439	0.000740451	0.000715834	0.001125643
43418.59028	2.382	32.56	8.03	2.619	31.34	8.18	0.000740451	0.000715834	0.001125643
43418.59722	2.367	32.66	7.979	2.586	31.4	8.15	0.000740451	0.000715834	0.001125643
43418.60417	2.349	32.69	7.93	2.619	31.45	8.09	0.000740451	0.000715834	0.001125643
43418.61111	2.375	32.69	7.972	2.706	31.45	8.14	0.000740451	0.000715834	0.001125643
43418.61806	2.411	32.67	7.964	2.662	31.47	8.11	0.000740451	0.000715834	0.001125643
43418.625	2.39	35.12	8.07	2.543	34.05	7.661	0.000740451	0.000715834	0.001125643
43418.63194	2.38	32.31	8.09	2.662	31.1	8.17	0.000740451	0.000715834	0.001125643
43418.63889	2.368	32.32	8.05	2.624	31.13	8.19	0.000740451	0.000715834	0.001125643
43418.64583	2.393	32.33	8.09	2.548	31.15	8.21	0.000740451	0.000715834	0.001125643
43418.65278	2.4	35.73	9.12	2.57	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.65972	2.391	35.88	9.2	2.624	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.66667	2.382	38.04	9.35	2.537	36.98	8.83	0.000740451	0.000715834	0.001125643
43418.67361	2.374	35.46	9.29	2.7	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.68056	2.404	35.53	9.3	2.63	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.6875	2.403	35.58	9.31	2.7	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.69444	2.413	35.61	9.31	2.706	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.70139	2.441	35.63	9.31	2.711	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.70833	2.37	37.85	9.61	2.505	36.66	9.08	0.000740451	0.000715834	0.001125643
43418.71528	2.397	35.4	9.68	2.695	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.72222	2.395	35.34	9.64	2.651	35.22	9.49	0.000740451	0.000715834	0.001125643
43418.72917	2.442	35.39	9.64	2.706	35.23	9.49	0.000740451	0.000715834	0.001125643
43418.73611	2.371	35.39	9.94	2.706	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.74306	2.358	35.4	9.92	2.537	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.75	2.344	38.1	9.97	2.451	36.94	9.46	0.000740451	0.000715834	0.001125643
43418.75694	2.339	35.59	9.87	2.63	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.76389	2.322	35.6	9.87	2.678	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.77083	2.342	35.54	9.86	2.64	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.77778	2.329	35.5	9.88	2.711	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.78472	2.307	35.53	9.89	2.711	35.24	9.49	0.000740451	0.000715834	0.001125643
43418.79167	2.315	37.58	10.09	2.516	36.32	9.75	0.000740451	0.000715834	0.001125643
43418.79861	2.292	35.13	10.07	2.689	34.52	9.49	0.000740451	0.000715834	0.001125643
43418.80556	2.212	35.12	10.08	2.646	34.37	9.49	0.000740451	0.000715834	0.001125643
43418.8125	2.185	35.1	10.1	2.559	34.29	9.49	0.000740451	0.000715834	0.001125643
43418.81944	2.202	35.13	10.14	2.684	34.44	9.49	0.000740451	0.000715834	0.001125643
43418.82639	2.19	35.05	10.13	2.608	34.08	9.49	0.000740451	0.000715834	0.001125643
43418.83333	2.189	37.3	10.56	2.462	36	10.17	0.000740451	0.000715834	0.001125643
43418.84028	2.193	34.9	10.47	2.586	33.19	10.82	0.000740451	0.000715834	0.001125643
43418.84722	2.196	34.87	10.46	2.64	32.97	10.84	0.000740451	0.000715834	0.001125643
43418.85417	2.195	34.83	10.49	2.706	32.89	10.84	0.000740451	0.000715834	0.001125643
43418.86111	2.161	34.85	10.48	2.7	33.02	10.84	0.000740451	0.000715834	0.001125643
43418.86806	2.099	34.76	10.47	2.646	32.66	10.84	0.000740451	0.000715834	0.001125643
43418.875	2.073	36.49	9.77	2.391	35.37	9.47	0.000740451	0.000715834	0.001125643
43418.88194	2.001	34.41	9.79	2.467	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.88889	2.006	34.44	9.81	2.586	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.89583	1.961	34.33	9.8	2.375	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.90278	1.937	34.39	9.81	2.234	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.90972	1.971	34.31	9.81	2.451	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.91667	1.966	36.04	10.18	2.283	35	9.77	0.000740451	0.000715834	0.001125643
43418.92361	1.994	33.99	10.02	2.554	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.93056	1.967	33.99	10.03	2.478	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.9375	1.937	33.96	10.02	2.25	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.94444	1.921	33.99	10.03	2.136	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.95139	1.895	33.99	10.04	1.854	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.95833	1.915	35.87	9.98	2.207	34.61	9.7	0.000740451	0.000715834	0.001125643
43418.96528	1.902	33.76	9.87	1.86	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.97222	1.9	33.81	9.87	1.822	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.97917	1.887	33.81	9.87	1.778	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.98611	1.891	33.79	9.87	1.887	32.53	9.49	0.000740451	0.000715834	0.001125643
43418.99306	1.891	33.81	9.87	1.773	32.53	9.49	0.000740451	0.000715834	0.001125643
43419	1.911	35.7	9.59	2.196	34.48	9.28	0.000740451	0.000715834	0.001125643
43419.00694	1.9	33.7	9.52	1.892	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.01389	1.896	33.68	9.52	1.881	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.02083	1.896	33.74	9.51	1.936	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.02778	1.899	33.76	9.52	1.8	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.03472	1.901	33.77	9.51	1.8	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.04167	1.906	35.54	9.8	2.207	34.14	9.59	0.000740451	0.000715834	0.001125643
43419.04861	1.898	33.62	9.85	1.952	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.05556	1.897	33.65	9.87	1.849	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.0625	1.889	33.67	9.85	1.838	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.06944	1.886	33.69	9.85	1.778	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.07639	1.889	33.71	9.85	1.822	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.08333	1.894	35.58	9.74	2.158	34.33	9.55	0.000740451	0.000715834	0.001125643
43419.09028	1.887	33.75	9.79	1.778	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.09722	1.881	33.78	9.78	1.903	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.10417	1.888	33.81	9.78	1.833	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.11111	1.678	33.88	9.78	-13.54	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.11806	1.882	33.85	9.76	1.822	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.125	1.894	35.59	10.09	2.169	34.4	9.97	0.000740451	0.000715834	0.001125643
43419.13194	1.882	33.84	10.14	1.784	32.53	10.3	0.000740451	0.000715834	0.001125643
43419.13889	1.886	33.89	10.14	1.762	32.53	10.36	0.000740451	0.000715834	0.001125643
43419.14583	1.889	33.91	10.15	1.773	32.53	10.39	0.000740451	0.000715834	0.001125643
43419.15278	1.88	33.93	10.08	1.746	32.53	9.95	0.000740451	0.000715834	0.001125643
43419.15972	1.882	33.93	10.08	1.675	32.53	9.88	0.000740451	0.000715834	0.001125643
43419.16667	1.899	35.57	10.18	2.142	34.48	10.01	0.000740451	0.000715834	0.001125643
43419.17361	1.885	33.87	10.19	2.391	32.53	10.69	0.000740451	0.000715834	0.001125643
43419.18056	1.885	33.89	10.22	1.849	32.53	10.76	0.000740451	0.000715834	0.001125643
43419.1875	1.887	33.92	10.24	1.74	32.53	10.82	0.000740451	0.000715834	0.001125643
43419.19444	1.879	33.95	10.26	1.827	32.53	10.84	0.000740451	0.000715834	0.001125643
43419.20139	1.881	33.94	10.28	1.724	32.53	10.84	0.000740451	0.000715834	0.001125643
43419.20833	14.38	35.92	9.75	13.92	34.5	9.31	0.000740451	0.000715834	0.001125643
43419.21528	15.17	33.97	9.65	15.33	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.22222	15.15	33.98	9.66	15.35	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.22917	15.06	34.08	9.68	15.13	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.23611	15.04	34.06	9.69	15.13	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.24306	15	34.13	9.7	15.11	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.25	14.33	35.64	9.94	13.71	34.27	9.81	0.000740451	0.000715834	0.001125643
43419.25694	15	33.9	10.03	15.18	32.53	10.16	0.000740451	0.000715834	0.001125643
43419.26389	15.01	33.89	10.02	15.25	32.53	9.81	0.000740451	0.000715834	0.001125643
43419.27083	15.05	34	10.05	15.03	32.53	10.2	0.000740451	0.000715834	0.001125643
43419.27778	15.04	33.97	10.05	15.13	32.53	10.12	0.000740451	0.000715834	0.001125643
43419.28472	15.01	33.99	10.06	15.17	32.53	10.17	0.000740451	0.000715834	0.001125643
43419.29167	14.31	35.44	9.66	13.9	34.5	9.01	0.000740451	0.000715834	0.001125643
43419.29861	15.02	33.78	9.71	14.98	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.30556	15.02	33.78	9.7	15.06	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.3125	15.02	33.8	9.7	15.06	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.31944	15.03	33.8	9.7	15.07	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.32639	15.04	33.82	9.72	15.01	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.33333	14.53	35.72	9.65	14.07	34.57	9.1	0.000740451	0.000715834	0.001125643
43419.34028	15.32	33.93	9.6	15.33	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.34722	15.24	34.04	9.66	15.18	32.65	9.49	0.000740451	0.000715834	0.001125643
43419.35417	15.53	33.99	9.58	15.68	32.85	9.5	0.000740451	0.000715834	0.001125643
43419.36111	15.48	33.98	9.75	15.48	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.36806	15.44	34.02	9.77	15.6	32.53	9.49	0.000740451	0.000715834	0.001125643
43419.375	17.75	37.62	10.59	17.19	36.38	10.27	0.000740451	0.000715834	0.001125643
43419.38194	18.3	36.05	10.66	18.5	35.24	10.84	0.000740451	0.000715834	0.001125643
43419.38889	10.11	29.69	8.45	10.21	28.46	8.66	0.000740451	0.000715834	0.001125643
43419.39583	10.11	29.68	8.46	10.36	28.51	8.66	0.000740451	0.000715834	0.001125643
43419.40278	10.13	29.7	8.46	10.24	28.51	8.72	0.000740451	0.000715834	0.001125643
43419.40972	10.05	29.72	8.47	10.1	28.47	8.64	0.000740451	0.000715834	0.001125643
43419.41667	9.45	31.34	8.45	8.82	30.54	8.01	0.000740451	0.000715834	0.001125643
43419.42361	10.04	29.84	8.5	10.18	28.68	8.82	0.000740451	0.000715834	0.001125643
43419.43056	9.98	29.81	8.51	10.23	28.6	8.77	0.000740451	0.000715834	0.001125643
43419.4375	9.95	29.9	8.52	10.15	28.65	8.71	0.000740451	0.000715834	0.001125643
43419.44444	9.92	29.86	8.51	10.2	28.63	8.69	0.000740451	0.000715834	0.001125643
43419.45139	9.96	29.86	8.52	10.18	28.64	8.72	0.000740451	0.000715834	0.001125643
43419.45833	9.42	31.3	8.45	8.94	30.5	8.09	0.000740451	0.000715834	0.001125643
43419.46528	9.94	29.53	8.41	10.13	28.36	8.64	0.000740451	0.000715834	0.001125643
43419.47222	9.95	29.64	8.44	10.11	28.41	8.75	0.000740451	0.000715834	0.001125643
43419.47917	9.93	29.67	8.45	10.01	28.49	8.78	0.000740451	0.000715834	0.001125643
43419.48611	9.97	29.67	8.45	9.98	28.45	8.69	0.000740451	0.000715834	0.001125643
43419.49306	9.94	29.66	8.47	10.04	28.42	8.72	0.000740451	0.000715834	0.001125643
43419.5	9.36	31.27	8.6	8.97	30.29	8.1	0.000740451	0.000715834	0.001125643
43419.50694	9.94	29.48	8.53	9.95	28.24	8.82	0.000740451	0.000715834	0.001125643
43419.51389	9.92	29.51	8.55	10.15	28.31	8.79	0.000740451	0.000715834	0.001125643
43419.52083	10.02	29.48	8.56	10.21	28.37	8.86	0.000740451	0.000715834	0.001125643
43419.52778	9.95	29.62	8.54	10.12	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.53472	9.98	29.67	8.53	10.15	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.54167	9.32	31.47	8.52	9.07	30.27	7.889	0.000740451	0.000715834	0.001125643
43419.54861	10.05	29.56	8.46	10.02	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.55556	10.08	29.6	8.47	10.25	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.5625	10.02	29.72	8.49	10.34	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.56944	9.96	29.71	8.48	10.21	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.57639	9.96	29.8	8.5	10.24	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.58333	9.4	31.43	8.45	8.96	30.29	7.867	0.000740451	0.000715834	0.001125643
43419.59028	9.98	29.65	8.5	10.25	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.59722	9.94	29.7	8.51	10.29	28.46	8.13	0.000740451	0.000715834	0.001125643
43419.60417	9.75	32.37	11.16	9.93	31.18	10.84	0.000740451	0.000715834	0.001125643
43419.61111	9.93	29.56	12.7	10.13	28.46	12.21	0.000740451	0.000715834	0.001125643
43419.61806	10.01	29.68	11.05	10.23	28.46	10.84	0.000740451	0.000715834	0.001125643
43419.625	9.39	33.64	9.76	8.85	32.59	9.52	0.000740451	0.000715834	0.001125643
43419.63194	10.09	32.27	8.99	10.25	31.18	9.41	0.000740451	0.000715834	0.001125643
43419.63889	10.13	32.9	8.85	10.25	32.48	8.58	0.000740451	0.000715834	0.001125643
43419.64583	10.05	33.3	8.85	10.37	32.53	8.81	0.000740451	0.000715834	0.001125643
43419.65278	10.04	33.51	8.9	10.26	32.53	9.19	0.000740451	0.000715834	0.001125643
43419.65972	10.05	33.71	8.98	10.23	32.53	9.47	0.000740451	0.000715834	0.001125643
43419.66667	9.5	39.36	8.96	9.04	38.28	8.3	0.000740451	0.000715834	0.001125643
43419.67361	10.09	36.54	8.93	10.36	35.24	9.05	0.000740451	0.000715834	0.001125643
43419.68056	10.02	36.99	8.95	10.07	35.24	9.31	0.000740451	0.000715834	0.001125643
43419.6875	9.99	37.24	8.97	10.14	35.24	9.36	0.000740451	0.000715834	0.001125643
43419.69444	10.07	37.42	9	10.19	35.28	9.42	0.000740451	0.000715834	0.001125643
43419.70139	10.09	37.54	9.01	10.16	35.47	9.45	0.000740451	0.000715834	0.001125643
43419.70833	9.37	42.29	8.76	9.07	41.07	8.31	0.000740451	0.000715834	0.001125643
43419.71528	10.09	39.11	8.7	10.14	37.95	8.14	0.000740451	0.000715834	0.001125643
43419.72222	10.07	39.4	8.74	10.28	37.95	8.13	0.000740451	0.000715834	0.001125643
43419.72917	10.06	39.45	8.74	10.27	37.95	8.2	0.000740451	0.000715834	0.001125643
43419.73611	10.01	39.56	8.74	10.21	37.95	8.21	0.000740451	0.000715834	0.001125643
43419.74306	10.04	39.71	8.78	9.99	37.96	8.18	0.000740451	0.000715834	0.001125643
43419.75	9.45	42.95	8.84	9.08	41.51	8.19	0.000740451	0.000715834	0.001125643
43419.75694	9.99	39.26	8.75	10.21	37.95	8.18	0.000740451	0.000715834	0.001125643
43419.76389	10.05	39.29	8.76	10.2	37.95	8.25	0.000740451	0.000715834	0.001125643
43419.77083	10.12	39.29	8.75	10.23	37.95	8.2	0.000740451	0.000715834	0.001125643
43419.77778	10.05	39.33	8.77	10.2	37.95	8.18	0.000740451	0.000715834	0.001125643
43419.78472	9.89	39.31	8.78	10.16	37.95	8.19	0.000740451	0.000715834	0.001125643
43419.79167	9.45	44.57	8.81	9.12	43.4	8.7	0.000740451	0.000715834	0.001125643
43419.79861	9.92	40.64	8.79	10.4	39.31	8.27	0.000740451	0.000715834	0.001125643
