date.time	ntu
43146.46881	2.314
43088.97232	0.025
43088.97236	0.033
43088.97242	0.025
43088.97233	0.017
43088.97235	0.017
43088.97238	0.025
43088.97234	0.05
43088.97921	0.025
43088.9724	0.025
43088.97237	0.041
43088.97241	0.033
43088.97922	0.033
43088.97923	0
43088.97928	0.025
43088.97924	0.008
43088.97929	0
43088.97925	0.017
43088.97926	0.008
43088.97931	0.008
43088.9793	0.025
43088.9897	0.008
43088.98963	0.016
43088.98967	0.033
43088.98964	0.016
43088.98966	0.008
43088.98968	0.008
43088.98965	0.041
43088.98969	0.033
43088.98972	0.025
43088.98973	0.025
43089.00008	0.024
43089.00006	0.024
43089.00012	-0.008
43089.00017	-0.008
43089.00011	0.033
43089.00016	0.016
43089.00014	0.016
43089.0001	0.033
43089.00013	0.033
43089.00009	0.016
43089.01047	0.024
43089.01048	0.024
43089.01052	0.024
43089.01046	0.041
43089.01049	0.024
43089.01053	0
43089.01056	0.041
43089.0105	0.033
43089.01055	0.008
43089.01054	0.024
43089.02087	0.033
43089.02089	0.033
43089.02094	0.016
43089.02098	0.024
43089.02096	0.016
43089.02097	0
43089.22921	-0.008
43089.26053	0.016
43089.25004	0.024
43089.25005	0.041
43089.26052	0.016
43089.20837	0.024
43089.0313	0
43089.2605	0.016
43089.26054	0.008
43089.26055	0.016
43089.03129	0.008
43089.03135	0.016
43089.03131	0.008
43089.03133	0.032
43089.18755	0.016
43089.21884	0.016
43089.21888	0.024
43089.21889	0.032
43089.23968	0.008
43089.19801	0.024
43089.22927	0.016
43089.2084	0.016
43089.20842	0.024
43089.22924	0.032
43089.22925	0.008
43089.03136	0.024
43089.20839	0.008
43089.20844	0.024
43089.20841	0
43089.23972	0.041
43089.1876	0.032
43089.23973	0.032
43089.20843	0.024
43089.21887	0.057
43089.03134	0.024
43089.21885	0.016
43089.21886	0.024
43089.18754	0.024
43089.2397	0
43089.26056	0.041
43089.22923	0.024
43089.23969	0.032
43089.25008	0.024
43089.19804	0.016
43089.2501	0.024
43089.03137	0.032
43089.18756	0.008
43089.18758	0.016
43089.25006	0.041
43089.25009	0.049
43089.19803	0.016
43089.22922	0.032
43089.22928	0.024
43089.23967	0.016
86298.40626	9.3
43089.04177	0.008
43089.19806	0.016
43089.04179	0.049
43089.18759	0.041
43089.09379	0.008
43089.11465	0.024
43089.04175	0
43089.18763	0
43089.11464	0.008
43089.1772	0.016
43089.17722	0.032
43089.18761	0.041
43089.19805	0.008
43089.18762	0.032
43089.11462	0.016
43089.05212	0.032
43089.17723	0.041
43089.04178	0.008
43089.05214	-0.008
43089.07296	0.024
43089.07302	0.008
43089.10429	0.041
43089.05215	0.024
43089.05219	0.008
43089.08344	0.024
43089.10423	0
43089.09384	0.008
43089.0938	0
43089.073	0.008
43089.05216	0
43089.08345	0.016
43089.09381	0.024
43089.05217	0.024
43089.08343	0.024
43089.09383	0.032
43089.10425	0.032
43089.10428	0.016
43089.11467	0.024
43089.08341	0.032
43089.0418	0.016
43089.07303	0.049
43089.07299	0.016
43089.09385	0.024
43089.07298	0.008
43089.08342	0.032
43089.10427	0
43089.1043	0.024
43089.04181	0.032
43089.05218	0.016
43089.07297	0.024
43089.10431	0.016
43089.10424	0.057
43089.11466	0.032
43089.27089	-0.024
43089.06263	0.016
43089.2709	0.024
43089.07305	0.032
43089.06264	0.032
43089.07304	0.016
43089.07306	0.024
43089.08347	0.032
43089.27087	0.016
43089.08348	0.032
43089.27091	0
43089.27092	-0.024
43089.27093	0.008
43146.76046	0.008
43146.76051	-0.008
43146.76049	-0.024
43146.76047	0.008
43146.7605	0.008
43146.76048	0.008
43146.76053	0.016
43146.86462	0.016
43146.85421	0
43148.26047	-0.008
43146.85431	-0.008
43148.25005	-0.016
43146.75011	-0.016
43146.8543	0.016
43146.85423	0.032
43146.85429	0
43146.86465	0.016
43146.85428	0.032
43146.75012	0
43146.85425	0.008
43146.85426	0.008
43148.29172	0.016
43146.85424	0
43148.26046	0.024
43146.85422	0.008
43146.7501	0
43146.86463	0.016
43148.29171	0.032
43148.25004	0.016
43148.23965	-0.008
43148.33341	-0.008
43149.26046	-0.008
43148.23969	-0.008
43146.88555	-0.008
43148.26051	-0.008
43148.33342	0.024
43148.33347	0.008
43146.75014	0.008
43146.89588	0.008
43148.25011	0.024
43148.29173	0.008
43148.33343	0.016
43149.30219	0.024
43146.8959	0.008
43148.33345	0.008
43148.25007	0
43148.2605	0.008
43148.29174	0.016
43148.33337	0
43149.27088	0.016
43148.23973	0.024
43148.33339	0.008
43149.27087	0.04
43148.26053	0.008
43148.28137	0.032
43148.33344	0.024
43148.3438	0.032
43146.75013	0.008
43146.88553	0.04
43146.89594	0.04
43146.89595	0.016
43146.90632	0.016
43148.25013	0.008
43148.25014	0.016
43148.28138	0.016
43148.3334	0.008
43148.23966	0.008
43148.2397	0.016
43148.28136	0.016
43148.29175	0.016
43146.89593	0.024
43148.2501	0.024
43148.26049	0.04
43146.89587	0
43146.89591	0
43148.25006	0.008
43148.26048	0.008
43148.28139	0
43149.26048	0.024
43149.26049	0.008
43146.88556	0
43148.29179	0.024
43148.23967	0
43148.29178	0.008
43149.31254	0.008
43148.23972	0.024
43148.25012	0.04
43149.31255	0
43146.90631	0.008
43148.29176	0.032
43148.34381	0.008
43149.26047	0
43146.88554	0.016
43146.90629	0.016
43146.9063	0
43148.23968	0.024
43148.25009	0.024
43148.34379	0.024
43149.31256	0.032
43146.89597	-0.024
43146.89592	-0.008
43149.21879	-0.008
43146.89598	-0.008
43149.21886	-0.016
43146.90636	0.008
43149.2188	0.008
43149.21881	0.016
43149.2605	0.008
43149.31262	0.008
43149.26054	0.016
43146.90639	0.024
43146.90637	0.008
43149.26051	0.016
43146.93754	0.016
43148.33348	0.008
43149.21882	0.024
43149.26055	0.016
43149.26056	0.032
43149.31259	0.04
43146.90635	0.024
43149.30222	0.057
43149.3126	0.024
43149.31257	0.016
43149.21885	0.008
43149.26053	0.008
43149.30223	0.032
43146.90634	0.016
43146.90638	0
43149.3022	0.048
43149.31261	0.016
43147.25007	-0.008
43147.21879	-0.04
43147.25013	-0.008
43151.4063	-0.008
43148.37514	-0.008
43147.29173	-0.008
43147.20839	-0.016
43146.93756	0.008
43147.2188	0.016
43147.25012	0.016
43147.26047	0.008
43149.16674	0.032
43149.17713	0.008
43149.17715	0
43147.16671	0.016
43147.28138	0.008
43149.16675	0.024
43149.20848	0.008
43146.93761	0.008
43147.25006	0.008
43148.37513	0.016
43148.38548	0
43148.38549	0.024
43149.16678	0.008
43146.93759	0.016
43149.16672	0.024
43149.21884	0.016
43147.25004	0.008
43147.25005	0.024
43149.20847	0.048
43146.92718	0.032
43147.20837	0.008
43147.29178	0.032
43146.93757	0.032
43147.2501	0.016
43147.29172	0.024
43148.37512	0.008
43151.41671	0.024
43151.41672	0.024
43146.93755	0.032
43147.21881	0.024
43147.29171	0
43148.38546	0.008
43149.16676	0.016
43149.20844	0.016
43151.40629	0.008
43151.40631	0.024
43148.38547	0
43149.35423	0.024
43146.92719	0
43147.25011	0.008
43146.9376	0.008
43149.16673	0.024
43149.20843	0.016
43149.20845	0
43149.16671	0.016
43149.17712	0.032
43151.40632	0.008
43146.9272	0.016
43146.92722	0
43147.2084	0.024
43147.29174	0.008
43148.3855	0.008
43149.12504	0.008
43149.35422	0.008
43146.92723	0.016
43147.26046	0.024
43147.29176	0
43148.38553	0
43148.38554	0.024
43149.35421	0.016
43147.13546	0.016
43147.28139	0.016
43148.37511	0
43148.38551	0.016
43147.08338	-0.008
43146.96884	-0.016
43147.20842	-0.008
43147.16674	-0.024
43149.35428	-0.008
43149.1668	-0.008
43147.1251	-0.008
43151.40635	-0.016
43147.08341	-0.008
43149.16679	-0.008
43147.01047	0.024
43147.12506	0.008
43147.1668	0.008
43149.12506	0
43150.30213	0
43146.97922	0.016
43146.97925	0.024
43146.97926	0.024
43147.05215	0.024
43147.16672	0
43147.16676	0.024
43149.08338	0.032
43149.35426	0.016
43147.0938	0
43147.12512	0.024
43147.15638	0.032
43147.29175	0.016
43147.29179	0.04
43149.1147	0
43146.97923	0.008
43147.05214	0.008
43147.15639	0.04
43147.2918	0.016
43149.35429	0.024
43149.3543	0.016
43149.36462	0.016
43149.36463	0.04
43151.40637	0.016
43146.96885	0.016
43146.96886	0.024
43147.00015	0.016
43147.01048	0.016
43147.16678	0
43147.20845	0.024
43147.3334	0.024
43149.0834	0.008
43149.12505	0.016
43149.35424	0
43147.09381	0.008
43147.16675	0
43147.20843	0.024
43149.12507	0.024
43150.30212	0.008
43151.40634	0.016
43151.40636	0.024
43147.05216	0.024
43147.20844	0.016
43147.25009	0.016
43149.11472	0
43151.40638	0.008
43146.96887	0.032
43147.01051	0.024
43147.05212	0.008
43147.09379	0.008
43147.33338	0.016
43147.34379	0.016
43146.96888	0.016
43147.20848	0.024
43147.25014	0.008
43149.12512	0.016
43147.0834	0
43147.16673	0.008
43147.29181	0.008
43151.40639	0.032
43146.97924	0.008
43147.04176	0.008
43147.12511	0
43149.12511	0.024
43149.35431	0.032
43147.01046	0.024
43147.01049	0.008
43147.12507	0
43147.33337	0
43149.1251	0.008
43146.97921	0.024
43147.12504	0.024
43147.20847	0.008
43149.08337	0.024
43149.12509	0
43147.01053	0
43147.16679	0.008
43149.08341	0.032
43149.16681	0.008
43147.20841	0.016
43149.35425	0.008
43147.12505	0.04
43147.12509	0.008
43147.23973	0
43149.11469	0.008
43150.29181	-0.008
43150.2501	-0.016
43150.34385	-0.016
43147.08348	-0.008
43149.08342	-0.008
43150.29176	-0.016
43150.29178	0.008
43150.35423	0.024
43147.08347	0.024
43148.13547	0.016
43149.11473	0.024
43150.23969	0.008
43150.25004	0.008
43150.30219	0.016
43147.0105	0.032
43147.04175	0
43148.13546	0
43148.42716	0.008
43149.07305	0.024
43150.34384	0.024
43150.35421	0.048
43150.30218	0.008
43147.0418	0.016
43147.16681	0.008
43147.33342	0.008
43148.43754	0.024
43149.07301	0.016
43147.01054	0.008
43147.04181	0.016
43147.08342	0
43150.30216	0.024
43147.08345	0.016
43148.42718	0.008
43150.34387	0
43147.04178	0.032
43147.33343	0.024
43147.33344	0.008
43148.43755	0.016
43148.43756	0
43149.08344	0.016
43150.25006	0
43150.30215	0.008
43150.34388	0
43147.08343	0.008
43147.32306	0.016
43147.33341	0
43147.01056	0.024
43147.33345	0.016
43150.19796	0
43150.20837	0.008
43150.25012	0.016
43147.08344	0.016
43147.33347	0.024
43148.42719	0.016
43150.25011	0.016
43146.96889	0.032
43147.12513	0.008
43150.2918	0.016
43150.30217	0.008
43150.34386	0.016
43150.34389	0.008
43147.11473	0
43147.12514	0.008
43150.35424	0.008
43147.00017	0.032
43147.01055	0.032
43147.04179	0.04
43149.07306	0.008
43149.08343	0.008
43147.05217	0
43147.05218	0.008
43147.33348	0.008
43149.07303	0.032
43149.07304	0.016
43150.25005	0.016
43150.25007	0.024
43150.29179	0.024
43150.35422	0.008
43148.42723	-0.008
43151.30218	-0.008
43151.30219	-0.008
43151.29179	0
43148.13549	0.024
43150.19803	0.024
43150.35426	0.008
43151.25007	0.024
43148.1355	0.024
