date.time	ntu	max.spectra	sum.irr
43423.78719	0	0.044	0.2
43423.7872	0.008	0.046	0.214
43423.78721	0.025	0.175	0.799
43423.78723	-0.017	0.22	1.087
43423.78724	-0.025	0.209	0.966
43423.78725	0.017	0.19	0.98
43423.78726	-0.008	0.082	0.428
43423.78727	469.741	0.125	0.612
43423.78728	-4.479	0.082	0.377
43423.78729	0.049	0.026	0.077
43423.79171	-0.008	0.006	-0.003
43423.79172	-0.041	0.265	0.321
43423.79173	-0.008	0.046	0.14
43423.79174	0.008	0.015	0.058
43423.79175	-0.025	0.008	0.012
43423.79176	-0.016	0.01	0.033
43423.79178	-0.016	0.012	0.033
43423.79179	-0.016	0.018	0.046
43423.7918	-0.016	0.005	-0.014
43423.79181	-0.025	0.005	-0.016
43423.80212	0.213	0.002	-0.013
43423.80214	0.213	0.004	-0.02
43423.80215	0.205	0.002	-0.011
43423.80216	0.213	0.004	-0.02
43423.80217	0.213	0.004	-0.022
43423.80218	0.189	0.004	-0.008
43423.80219	0.172	0.004	-0.027
43423.8022	0.221	0.002	-0.016
43423.80222	0.172	0.005	-0.017
43423.80223	0.197	0.005	-0.018
43423.81254	0.221	0.006	-0.011
43423.81255	0.212	0.005	-0.017
43423.81256	0.196	0.005	-0.042
43423.81258	0.212	0.005	-0.016
43423.81259	0.212	0.004	-0.019
43423.8126	0.196	0.003	-0.011
43423.81261	0.204	0.005	-0.012
43423.81262	0.188	0.005	-0.013
43423.81263	0.204	0.006	-0.016
43423.81264	0.204	0.005	-0.014
43423.82296	0.196	0.003	-0.02
43423.82297	0.204	0.006	-0.022
43423.82298	0.22	0.004	-0.016
43423.82299	0.22	0.004	-0.029
43423.823	0.236	0.006	-0.006
43423.82302	0.196	0.004	-0.015
43423.82303	0.196	0.006	-0.011
43423.82304	0.187	0.004	-0.013
43423.82305	0.196	0.005	-0.023
43423.82306	0.204	0.006	-0.019
43423.83337	0.195	0.008	-0.01
43423.83339	0.204	0.004	-0.025
43423.8334	0.195	0.005	-0.021
43423.83341	0.22	0.004	-0.017
43423.83342	0.22	0.005	-0.019
43423.83343	0.187	0.004	-0.018
43423.83344	0.195	0.003	-0.025
43423.83345	0.195	0.004	-0.022
43423.83347	0.212	0.004	-0.018
43423.83348	0.22	0.003	-0.02
43423.84379	0.228	0.003	-0.031
43423.8438	0.211	0.002	-0.022
43423.84381	0.228	0.004	-0.006
43423.84383	0.211	0.003	-0.025
43423.84384	0.203	0.005	-0.03
43423.84385	0.187	0.004	-0.025
43423.84386	0.195	0.003	-0.023
43423.84387	0.195	0.003	-0.023
43423.84388	0.211	0.003	-0.029
43423.84389	0.211	0.005	-0.03
43423.85421	0.211	0.003	-0.039
43423.85422	0.22	0.003	-0.028
43423.85423	0.219	0.005	-0.019
43423.85424	0.203	0.002	-0.026
43423.85425	0.203	0.004	-0.021
43423.85426	0.195	0.003	-0.023
43423.85428	0.219	0.004	-0.017
43423.85429	0.211	0.003	-0.024
43423.8543	0.187	0.003	-0.017
43423.85431	0.203	0.005	-0.019
43423.86462	0.203	0.005	-0.02
43423.86464	0.195	0.003	-0.017
43423.86465	0.187	0.004	-0.024
43423.86466	0.203	0.005	-0.017
43423.86467	0.219	0.005	-0.017
43423.86468	0.219	0.004	-0.024
43423.86469	0.236	0.004	-0.015
43423.8647	0.219	0.005	-0.022
43423.86472	0.195	0.002	-0.032
43423.86473	0.227	0.003	-0.011
43423.87504	0.211	0.005	-0.03
43423.87505	0.195	0.005	-0.017
43423.87506	0.211	0.003	-0.023
43423.87508	0.219	0.003	-0.02
43423.87509	0.211	0.005	-0.028
43423.8751	0.203	0.003	-0.02
43423.87511	0.203	0.004	-0.024
43423.87512	0.227	0.008	-0.01
43423.87513	0.195	0.004	-0.022
43423.87514	0.195	0.005	-0.015
43423.88546	0.187	0.004	-0.023
43423.88547	0.195	0.004	-0.018
43423.88548	0.211	0.005	-0.016
43423.88549	0.211	0.002	-0.021
43423.8855	0.203	0.006	-0.021
43423.88551	0.195	0.027	-0.008
43423.88553	0.219	0.005	-0.021
43423.88554	0.219	0.005	-0.011
43423.88555	0.211	0.004	-0.019
43423.88556	0.203	0.006	-0.01
43423.89587	0.219	0.002	-0.028
43423.89589	0.203	0.003	-0.015
43423.8959	0.163	0.003	-0.018
43423.89591	0.211	0.004	-0.024
43423.89592	0.211	0.003	-0.017
43423.89593	0.195	0.003	-0.022
43423.89594	0.219	0	-0.027
43423.89595	0.203	0.003	-0.024
43423.89597	0.211	0.006	-0.022
43423.89598	0.195	0.004	-0.017
43423.90629	0.219	0.006	-0.018
43423.9063	0.219	0.005	-0.033
43423.90631	0.211	0.005	-0.028
43423.90633	0.195	0.005	-0.035
43423.90635	0.187	0.004	-0.043
43423.90636	0.179	0.004	-0.02
43423.90637	0.219	0.002	-0.022
43423.90638	0.195	0.006	-0.023
43423.90639	0.236	0.021	0.007
43423.91671	0.179	0.005	-0.016
43423.91672	0.211	0.005	-0.027
43423.91673	0.195	0.005	-0.021
43423.91674	0.203	0.002	-0.015
43423.91675	0.228	0.001	-0.025
43423.91676	0.187	0.004	-0.02
43423.91678	0.219	0.002	-0.013
43423.91679	0.228	0.003	-0.034
43423.9168	0.187	0.008	-0.015
43423.91681	0.203	0.01	-0.011
43423.92712	0.203	0.005	-0.019
43423.92714	0.187	0.002	-0.012
43423.92715	0.203	0.003	-0.015
43423.92716	0.211	0.004	-0.02
43423.92717	0.211	0.003	-0.045
43423.92718	0.228	0.004	-0.026
43423.92719	0.211	0.004	-0.021
43423.9272	0.22	0.003	-0.018
43423.92722	0.195	0.009	-0.005
43423.92723	0.228	0.003	-0.023
43423.93754	0.22	0.006	-0.011
43423.93755	0.22	0.006	-0.019
43423.93756	0.195	0.006	-0.013
43423.93758	0.22	0.004	-0.028
43423.93759	0.203	0.007	-0.021
43423.9376	0.22	0.013	-0.003
43423.93761	0.211	0.004	-0.018
43423.93762	0.203	0.004	-0.012
43423.93763	0.211	0.004	-0.019
43423.93764	0.203	0.005	-0.026
43423.94796	0.203	0.003	-0.018
43423.94797	0.195	0.004	-0.019
43423.94798	0.211	0.004	-0.022
