date.time	dep1	de.hr1	dep2	dep3	de.hr2	de.hr3	cal1	cal2	cal3
43432.16667	6.373	5.315	118.5	17.19	117.9	18.47	0.000973353	0.000994531	0.00098
43432.17361	6	5.435	121.9	20.32	120.9	20.38	0.000973353	0.000994531	0.00098
43432.18056	6.555	5.967	122.4	21.6	121.2	21.58	0.000973353	0.000994531	0.00098
43432.1875	7.188	8.15	124	22.27	123.2	21.74	0.000973353	0.000994531	0.00098
43432.19444	7.531	8.15	124.3	22.57	123.6	21.74	0.000973353	0.000994531	0.00098
43432.20139	7.717	8.15	126	24.31	125	23.02	0.000973353	0.000994531	0.00098
43432.20833	5.807	7.011	119.8	18.84	119.4	18.16	0.000973353	0.000994531	0.00098
43432.21528	5.998	5.435	119.5	19.48	118.2	20.38	0.000973353	0.000994531	0.00098
43432.22222	6.683	6.712	121.2	20.53	120.9	20.38	0.000973353	0.000994531	0.00098
43432.22917	6.966	8.11	121.7	21.08	120.9	20.38	0.000973353	0.000994531	0.00098
43432.23611	7.579	8.15	122.2	22.57	121	21.74	0.000973353	0.000994531	0.00098
43432.24306	7.799	8.15	123.2	23.14	122.3	21.74	0.000973353	0.000994531	0.00098
43432.25	4.429	5.337	118	18.11	119.5	18.77	0.000973353	0.000994531	0.00098
43432.25694	6.142	5.435	120.4	19.35	120.2	20.38	0.000973353	0.000994531	0.00098
43432.26389	6.742	6.864	120.8	19.7	120.9	20.38	0.000973353	0.000994531	0.00098
43432.27083	8	8.15	122.4	20.4	121.2	20.38	0.000973353	0.000994531	0.00098
43432.27778	8.31	8.15	123	20.77	122	20.38	0.000973353	0.000994531	0.00098
43432.28472	8.65	8.15	123.8	22.76	123	21.74	0.000973353	0.000994531	0.00098
43432.29167	6.239	4.793	120.2	15.21	118.5	14.72	0.000973353	0.000994531	0.00098
43432.29861	5.568	5.435	122.8	17.22	121.8	17.66	0.000973353	0.000994531	0.00098
43432.30556	6.232	5.44	122.7	18.19	121.4	17.69	0.000973353	0.000994531	0.00098
43432.3125	21.12	20.4	123.2	18.4	122.3	18.42	0.000973353	0.000994531	0.00098
43432.31944	15.03	15.01	124	26.16	123.2	24.46	0.000973353	0.000994531	0.00098
43432.32639	13.14	13.59	124.6	25.98	123.7	24.46	0.000973353	0.000994531	0.00098
43432.33333	12.49	14.72	122.4	18.11	122.2	17.76	0.000973353	0.000994531	0.00098
43432.34028	13.51	13.59	121.9	16.93	120.9	17.66	0.000973353	0.000994531	0.00098
43432.34722	13.84	13.59	123.4	17.1	122.5	17.66	0.000973353	0.000994531	0.00098
43432.35417	14.25	14.74	123.9	17.4	123	17.66	0.000973353	0.000994531	0.00098
43432.36111	14.65	14.95	132.9	17.72	132.8	17.66	0.000973353	0.000994531	0.00098
43432.36806	14.97	14.95	133.5	17.92	133.2	17.66	0.000973353	0.000994531	0.00098
43432.375	5.502	7.071	120.8	18.03	120.5	17.58	0.000973353	0.000994531	0.00098
43432.38194	5.398	5.435	120.2	16.84	119.4	17.66	0.000973353	0.000994531	0.00098
43432.38889	5.448	5.435	120.7	17.01	120.9	17.66	0.000973353	0.000994531	0.00098
43432.39583	5.626	5.435	121.1	17.18	120.9	17.66	0.000973353	0.000994531	0.00098
43432.40278	5.949	5.435	121.5	17.35	120.9	17.66	0.000973353	0.000994531	0.00098
43432.40972	6.024	5.435	122	17.75	120.9	17.66	0.000973353	0.000994531	0.00098
43432.41667	5.827	4.592	121	15.55	119.8	15.87	0.000973353	0.000994531	0.00098
43432.42361	5.545	5.435	122	17.14	121	17.66	0.000973353	0.000994531	0.00098
43432.43056	6.277	5.435	123.7	17.47	122.9	17.66	0.000973353	0.000994531	0.00098
43432.4375	6.71	6.761	124.3	18.04	123.6	17.66	0.000973353	0.000994531	0.00098
43432.44444	11.01	10.87	124.4	18.24	123.7	17.72	0.000973353	0.000994531	0.00098
43432.45139	32.52	31.25	124.7	18.62	123.7	19.02	0.000973353	0.000994531	0.00098
43432.45833	5.525	7.326	123.5	19	123.1	18.34	0.000973353	0.000994531	0.00098
43432.46528	5.994	5.435	123.6	17.87	122.8	17.66	0.000973353	0.000994531	0.00098
43432.47222	6.209	5.435	124.1	18.12	123.3	17.66	0.000973353	0.000994531	0.00098
43432.47917	6.434	5.484	126.1	18.74	125.3	19.02	0.000973353	0.000994531	0.00098
43432.48611	7.072	8.15	126.5	19	125.5	19.08	0.000973353	0.000994531	0.00098
43432.49306	7.278	8.15	125.9	19.24	125	20.32	0.000973353	0.000994531	0.00098
43432.5	6.733	4.848	125.1	17.72	122	17.16	0.000973353	0.000994531	0.00098
43432.50694	6.047	5.435	125.8	18.92	125	19.03	0.000973353	0.000994531	0.00098
43432.51389	6.521	5.701	126.4	19.33	125.2	20.38	0.000973353	0.000994531	0.00098
43432.52083	6.866	7.554	127.1	19.81	126.4	20.38	0.000973353	0.000994531	0.00098
43432.52778	7.825	8.15	127.7	20.14	127.1	20.38	0.000973353	0.000994531	0.00098
43432.53472	7.935	8.15	128.2	20.34	127.7	20.38	0.000973353	0.000994531	0.00098
43432.54167	7.494	8.85	127.6	20.79	127.2	20.08	0.000973353	0.000994531	0.00098
43432.54861	7.238	8.15	127.2	19.94	126.5	20.38	0.000973353	0.000994531	0.00098
43432.55556	7.373	8.15	127.9	20.4	127.6	20.38	0.000973353	0.000994531	0.00098
43432.5625	6.289	5.435	128.5	20.92	127.7	20.38	0.000973353	0.000994531	0.00098
43432.56944	6.621	6.418	128.3	21.18	127.7	20.38	0.000973353	0.000994531	0.00098
43432.57639	7.017	8.13	129.2	21.61	127.9	21.55	0.000973353	0.000994531	0.00098
43432.58333	4.752	3.962	125.4	17.97	125.2	19.25	0.000973353	0.000994531	0.00098
43432.59028	6.151	5.435	128.9	20.36	127.7	20.38	0.000973353	0.000994531	0.00098
43432.59722	6.608	6.364	129.2	21.66	127.9	21.69	0.000973353	0.000994531	0.00098
43432.60417	6.958	8.06	129.8	23.05	128.9	21.74	0.000973353	0.000994531	0.00098
43432.61111	7.428	8.15	130.7	23.44	130.4	21.74	0.000973353	0.000994531	0.00098
43432.61806	8.66	8.15	131	22.76	130.4	21.74	0.000973353	0.000994531	0.00098
43432.625	5.558	7.071	130.6	22.26	130.9	22.16	0.000973353	0.000994531	0.00098
43432.63194	6.245	5.435	131.3	20.93	130.4	20.38	0.000973353	0.000994531	0.00098
43432.63889	6.489	5.663	130.3	20.59	129.9	20.38	0.000973353	0.000994531	0.00098
43432.64583	12.11	12.29	137	23.22	136.2	22.1	0.000973353	0.000994531	0.00098
43432.65278	10.06	10.87	142.3	23.57	141.7	21.74	0.000973353	0.000994531	0.00098
